,Unnamed: 0,src,dst,id,importance,weight,weight_positive,weight_negative,edge_weight(btw),Unnamed: 9,Unnamed: 10,hybrid
0,215,1,11,0,0.0,0.11189727,0.108853176,0.11189727,0.017095266,,,0.010030518847799999
1,214,35,11,0,0.0,0.12294922,0.12294922,0.112641126,0.017095266,,,0.011206446327799999
2,213,1,45,0,1.0,0.13893747,0.124592654,0.13893747,0.016532459,,,0.0129693360557
3,159,1,52,0,1.0,0.109301336,0.10343668,0.109301336,0.016532459,,,0.009816051398099998
4,212,35,45,0,1.0,0.13300629,0.13300629,0.11895787,0.016532459,,,0.0123382585037
5,158,35,52,0,1.0,0.13197449,0.11970753,0.13197449,0.016532459,,,0.0122284749837
6,68,0,43,0,2.0,0.8623064,0.12802336,0.8623064,0.008664815,,,0.09079887075450001
7,176,0,45,0,2.0,0.8599993,0.12657483,0.8599993,0.008664815,,,0.0905533953145
8,122,0,52,0,2.0,0.84373164,0.11502321,0.84373164,0.008664815,,,0.0888225162905
9,52,2,43,0,2.0,0.13438597,0.13438597,0.11918142,0.008664815,,,0.013348137002499998
10,160,2,45,0,2.0,0.12909763,0.12909763,0.12063835,0.008664815,,,0.012785457626499998
11,106,2,52,0,2.0,0.1149109,0.1149109,0.11473641,0.008664815,,,0.011275989554499998
12,152,3,52,0,2.0,0.14411059,0.13143402,0.14411059,0.008664815,,,0.0143828365705
13,206,3,45,0,2.0,0.1275185,0.12652336,0.1275185,0.008664815,,,0.0126174381945
14,98,3,43,0,2.0,0.10529383,0.09784715,0.10529383,0.008664815,,,0.010252733306499999
15,182,4,45,0,2.0,0.12291093,0.12291093,0.109456465,0.008664815,,,0.0121271927465
16,74,4,43,0,2.0,0.12148394400000001,0.09594915,0.12148394400000001,0.008664815,,,0.0119753614361
17,128,4,52,0,2.0,0.11910646400000001,0.11910646400000001,0.106956676,0.008664815,,,0.0117223975641
18,196,5,45,0,2.0,0.14609441,0.14609441,0.13355255,0.008664815,,,0.014593915018499999
19,142,5,52,0,2.0,0.13236506,0.13236506,0.11790048,0.008664815,,,0.0131331121785
20,88,5,43,0,2.0,0.12967856,0.12964736,0.12967856,0.008664815,,,0.012847268578499998
21,144,6,52,0,2.0,0.13759732,0.1165503,0.13759732,0.008664815,,,0.013689824642499999
22,198,6,45,0,2.0,0.12910303,0.12910303,0.11901298,0.008664815,,,0.0127860321865
23,90,6,43,0,2.0,0.11667541,0.10368411,0.11667541,0.008664815,,,0.011463733418499999
24,111,7,52,0,2.0,0.14696966,0.14696966,0.114343725,0.008664815,,,0.014687041618499999
25,57,7,43,0,2.0,0.14123856,0.124737665,0.14123856,0.008664815,,,0.0140772525785
26,165,7,45,0,2.0,0.109596536,0.10682634,0.109596536,0.008664815,,,0.010710541224899998
27,73,8,43,0,2.0,0.15292104,0.12686327,0.15292104,0.008664815,,,0.0153202684505
28,181,8,45,0,2.0,0.14283745,0.14283745,0.11786931,0.008664815,,,0.014247374474499998
29,127,8,52,0,2.0,0.1299531,0.1299531,0.12212107,0.008664815,,,0.012876479634499997
30,110,9,52,0,2.0,0.15453015,0.10399154,0.15453015,0.008664815,,,0.0154914777545
31,164,9,45,0,2.0,0.14602482,0.14602482,0.11431628,0.008664815,,,0.014586510642499998
32,56,9,43,0,2.0,0.13121285,0.12077658,0.13121285,0.008664815,,,0.013010517034499998
33,135,10,52,0,2.0,0.12559134,0.12559134,0.105239294,0.008664815,,,0.012412388370499999
34,189,10,45,0,2.0,0.12011755,0.11823683,0.12011755,0.008664815,,,0.0118299771145
35,81,10,43,0,2.0,0.11773408,0.101051584,0.11773408,0.008664815,,,0.0115763759065
36,115,12,52,0,2.0,0.14946643,0.14946643,0.12368066,0.008664815,,,0.0149526979465
