,Unnamed: 0,src,dst,id,importance,explainer,edge_btw,explainer_hitrate,edge_btw_hitrate,max_hitrate
0,68,0,43,0,2.0,0.8623064,0.008664815,0.024,0.0,0.024
1,176,0,45,0,2.0,0.8599993,0.008664815,0.024,0.0,0.024
2,122,0,52,0,2.0,0.84373164,0.008664815,0.024,0.0,0.024
3,16,0,42,0,2.0,0.8540501,0.0,0.024,0.0,0.024
4,215,1,11,0,0.0,0.11189727,0.017095266,0.024,0.0,0.024
5,213,1,45,0,1.0,0.13893747,0.016532459,0.024,0.0,0.024
6,159,1,52,0,1.0,0.109301336,0.016532459,0.024,0.0,0.024
7,105,1,43,0,1.0,0.13620384,0.0,0.024,0.0,0.024
8,52,2,43,0,2.0,0.13438597,0.008664815,0.024,0.0,0.024
9,160,2,45,0,2.0,0.12909763,0.008664815,0.024,0.0,0.024
10,106,2,52,0,2.0,0.1149109,0.008664815,0.024,0.0,0.024
11,0,2,42,0,2.0,0.121310785,0.008103673,0.024,0.0,0.024
12,152,3,52,0,2.0,0.14411059,0.008664815,0.024,0.0,0.024
13,206,3,45,0,2.0,0.1275185,0.008664815,0.024,0.0,0.024
14,98,3,43,0,2.0,0.10529383,0.008664815,0.024,0.0,0.024
15,46,3,42,0,2.0,0.12972088,0.0,0.024,0.0,0.024
16,182,4,45,0,2.0,0.12291093,0.008664815,0.024,0.0,0.024
17,74,4,43,0,2.0,0.12148394400000001,0.008664815,0.024,0.0,0.024
18,128,4,52,0,2.0,0.11910646400000001,0.008664815,0.024,0.0,0.024
19,22,4,42,0,2.0,0.13545391,0.0,0.024,0.0,0.024
20,196,5,45,0,2.0,0.14609441,0.008664815,0.024,0.0,0.024
21,142,5,52,0,2.0,0.13236506,0.008664815,0.024,0.0,0.024
22,88,5,43,0,2.0,0.12967856,0.008664815,0.024,0.0,0.024
23,36,5,42,0,2.0,0.12816246,0.0,0.024,0.0,0.024
24,144,6,52,0,2.0,0.13759732,0.008664815,0.024,0.0,0.024
25,198,6,45,0,2.0,0.12910303,0.008664815,0.024,0.0,0.024
26,90,6,43,0,2.0,0.11667541,0.008664815,0.024,0.0,0.024
27,38,6,42,0,2.0,0.12591831,0.0,0.024,0.0,0.024
28,111,7,52,0,2.0,0.14696966,0.008664815,0.024,0.0,0.024
29,57,7,43,0,2.0,0.14123856,0.008664815,0.024,0.0,0.024
30,165,7,45,0,2.0,0.109596536,0.008664815,0.024,0.0,0.024
31,5,7,42,0,2.0,0.14249669,0.0,0.024,0.0,0.024
32,73,8,43,0,2.0,0.15292104,0.008664815,0.024,0.0,0.024
33,181,8,45,0,2.0,0.14283745,0.008664815,0.024,0.0,0.024
34,127,8,52,0,2.0,0.1299531,0.008664815,0.024,0.0,0.024
35,21,8,42,0,2.0,0.13698189,0.0,0.024,0.0,0.024
36,110,9,52,0,2.0,0.15453015,0.008664815,0.024,0.0,0.024
37,164,9,45,0,2.0,0.14602482,0.008664815,0.024,0.0,0.024
38,56,9,43,0,2.0,0.13121285,0.008664815,0.024,0.0,0.024
39,4,9,42,0,2.0,0.12362443,0.0,0.024,0.0,0.024
40,135,10,52,0,2.0,0.12559134,0.008664815,0.024,0.0,0.024
41,189,10,45,0,2.0,0.12011755,0.008664815,0.024,0.0,0.024
42,81,10,43,0,2.0,0.11773408,0.008664815,0.024,0.0,0.024
43,29,10,42,0,2.0,0.13020001,0.0,0.024,0.0,0.024
44,115,12,52,0,2.0,0.14946643,0.008664815,0.024,0.0,0.024
45,169,12,45,0,2.0,0.13149756,0.008664815,0.024,0.0,0.024
46,61,12,43,0,2.0,0.12357682,0.008664815,0.024,0.0,0.024
47,9,12,42,0,2.0,0.14667370000000002,0.0,0.024,0.0,0.024
48,207,13,45,0,2.0,0.15258548,0.008664815,0.024,0.0,0.024
49,153,13,52,0,2.0,0.13928036,0.008664815,0.024,0.0,0.024
50,99,13,43,0,2.0,0.12691566,0.008664815,0.024,0.0,0.024
51,47,13,42,0,2.0,0.14150582,0.0,0.024,0.0,0.024
52,126,14,52,0,2.0,0.1431647,0.008664815,0.024,0.0,0.024
53,72,14,43,0,2.0,0.13551402,0.008664815,0.024,0.0,0.024
54,180,14,45,0,2.0,0.12761399,0.008664815,0.024,0.0,0.024
55,20,14,42,0,2.0,0.15326878,0.0,0.024,0.0,0.024
56,79,15,43,0,2.0,0.14462523,0.008664815,0.024,0.0,0.024
57,133,15,52,0,2.0,0.1398914,0.008664815,0.024,0.0,0.024
58,187,15,45,0,2.0,0.13430622,0.008664815,0.024,0.0,0.024
59,27,15,42,0,2.0,0.1392388,0.0,0.024,0.0,0.024
60,190,16,45,0,2.0,0.15173182,0.008664815,0.024,0.0,0.024
61,82,16,43,0,2.0,0.14657041,0.008664815,0.024,0.0,0.024
62,136,16,52,0,2.0,0.122045316,0.008664815,0.024,0.0,0.024
63,30,16,42,0,2.0,0.1409375,0.0,0.024,0.0,0.024
64,195,17,45,0,2.0,0.13801835,0.008664815,0.024,0.0,0.024
65,141,17,52,0,2.0,0.13321215,0.008664815,0.024,0.0,0.024
66,87,17,43,0,2.0,0.12784512,0.008664815,0.024,0.0,0.024
67,35,17,42,0,2.0,0.13607623,0.0,0.024,0.0,0.024
68,199,18,45,0,2.0,0.14946549,0.008664815,0.024,0.0,0.024
69,91,18,43,0,2.0,0.14297238,0.008664815,0.024,0.0,0.024
70,145,18,52,0,2.0,0.117725305,0.008664815,0.024,0.0,0.024
71,39,18,42,0,2.0,0.1235825,0.0,0.024,0.0,0.024
72,124,19,52,0,2.0,0.1481095,0.008664815,0.024,0.0,0.024
73,178,19,45,0,2.0,0.14047804,0.008664815,0.024,0.0,0.024
74,70,19,43,0,2.0,0.13223827,0.008664815,0.024,0.0,0.024
75,18,19,42,0,2.0,0.11056809,0.0,0.024,0.0,0.024
76,100,20,43,0,2.0,0.1553849,0.008664815,0.024,0.0,0.024
77,208,20,45,0,2.0,0.1509659,0.008664815,0.024,0.0,0.024
78,154,20,52,0,2.0,0.14616529999999997,0.008664815,0.024,0.0,0.024
79,48,20,42,0,2.0,0.11853577,0.0,0.024,0.0,0.024
80,119,21,52,0,2.0,0.12930682,0.008664815,0.024,0.0,0.024
81,65,21,43,0,2.0,0.12631289999999998,0.008664815,0.024,0.0,0.024
82,173,21,45,0,2.0,0.11422138,0.008664815,0.024,0.0,0.024
83,13,21,42,0,2.0,0.104522906,0.0,0.024,0.0,0.024
84,113,22,52,0,2.0,0.15021953,0.008664815,0.024,0.0,0.024
85,167,22,45,0,2.0,0.13990605,0.008664815,0.024,0.0,0.024
86,59,22,43,0,2.0,0.13397066,0.008664815,0.024,0.0,0.024
87,7,22,42,0,2.0,0.15943666,0.0,0.024,0.0,0.024
88,171,23,45,0,2.0,0.14830919,0.008664815,0.024,0.0,0.024
89,63,23,43,0,2.0,0.14176375,0.008664815,0.024,0.0,0.024
90,117,23,52,0,2.0,0.134404,0.008664815,0.024,0.0,0.024
91,11,23,42,0,2.0,0.14129877,0.0,0.024,0.0,0.024
92,179,24,45,0,2.0,0.14554317,0.008664815,0.024,0.0,0.024
93,71,24,43,0,2.0,0.12282769,0.008664815,0.024,0.0,0.024
94,125,24,52,0,2.0,0.118176065,0.008664815,0.024,0.0,0.024
95,19,24,42,0,2.0,0.13471399,0.0,0.024,0.0,0.024
96,89,25,43,0,2.0,0.14264867,0.008664815,0.024,0.0,0.024
97,197,25,45,0,2.0,0.13970760000000002,0.008664815,0.024,0.0,0.024
98,143,25,52,0,2.0,0.12237494,0.008664815,0.024,0.0,0.024
99,37,25,42,0,2.0,0.12966534,0.0,0.024,0.0,0.024
100,156,26,52,0,2.0,0.14199233,0.008664815,0.024,0.0,0.024
101,102,26,43,0,2.0,0.13451448,0.008664815,0.024,0.0,0.024
102,210,26,45,0,2.0,0.12697291,0.008664815,0.024,0.0,0.024
103,50,26,42,0,2.0,0.13659854,0.0,0.024,0.0,0.024
104,184,27,45,0,2.0,0.14184463,0.008664815,0.024,0.0,0.024
105,130,27,52,0,2.0,0.13184695,0.008664815,0.024,0.0,0.024
106,76,27,43,0,2.0,0.12596008,0.008664815,0.024,0.0,0.024
107,24,27,42,0,2.0,0.1353809,0.0,0.024,0.0,0.024
108,201,28,45,0,2.0,0.15019663,0.008664815,0.024,0.0,0.024
109,147,28,52,0,2.0,0.122466594,0.008664815,0.024,0.0,0.024
110,93,28,43,0,2.0,0.12169991,0.008664815,0.024,0.0,0.024
111,41,28,42,0,2.0,0.12024636,0.0,0.024,0.0,0.024
112,60,29,43,0,2.0,0.13470669,0.008664815,0.024,0.0,0.024
113,114,29,52,0,2.0,0.12816028,0.008664815,0.024,0.0,0.024
114,168,29,45,0,2.0,0.12512662,0.008664815,0.024,0.0,0.024
115,8,29,42,0,2.0,0.115878776,0.0,0.024,0.0,0.024
116,183,30,45,0,1.0,0.13960272,0.008664815,0.024,0.0,0.024
117,129,30,52,0,1.0,0.11640402,0.008664815,0.024,0.0,0.024
118,75,30,43,0,1.0,0.116273135,0.008664815,0.024,0.0,0.024
119,23,30,42,0,1.0,0.12600327,0.0,0.024,0.0,0.024
120,112,31,52,0,1.0,0.14602374,0.008664815,0.024,0.0,0.024
121,58,31,43,0,1.0,0.14043796,0.008664815,0.024,0.0,0.024
122,166,31,45,0,1.0,0.12814023,0.008664815,0.024,0.0,0.024
123,6,31,42,0,1.0,0.14086175,0.0,0.024,0.0,0.024
124,202,32,45,0,2.0,0.14406511,0.008664815,0.024,0.0,0.024
125,148,32,52,0,2.0,0.12890483,0.008664815,0.024,0.0,0.024
126,94,32,43,0,2.0,0.11234749,0.008664815,0.024,0.0,0.024
127,42,32,42,0,2.0,0.1309448,0.0,0.024,0.0,0.024
128,118,33,52,0,2.0,0.15986301,0.008664815,0.024,0.0,0.024
129,64,33,43,0,2.0,0.15550227,0.008664815,0.024,0.0,0.024
130,172,33,45,0,2.0,0.1473654,0.008664815,0.024,0.0,0.024
131,12,33,42,0,2.0,0.12363796,0.0,0.024,0.0,0.024
