,src,dst,id,importance,explainer,edge_btw
34,38,42,0,2,0.12882069,0
53,39,43,0,2,0.13713764,0.008664815
107,39,52,0,2,0.13395073,0.008664815
161,39,45,0,2,0.11575059,0.008664815
1,39,42,0,2,0.12057068,0
146,40,52,0,2,0.15057325,0.008664815
200,40,45,0,2,0.14118335,0.008664815
92,40,43,0,2,0.12844262,0.008664815
40,40,42,0,2,0.12831187,0
185,41,45,0,2,0.14927053,0.008664815
77,41,43,0,2,0.13392876,0.008664815
131,41,52,0,2,0.12892036,0.008664815
25,41,42,0,2,0.13802357,0
155,44,52,0,2,0.12791026,0.008664815
209,44,45,0,2,0.123611376,0.008664815
101,44,43,0,2,0.12007759,0.008664815
49,44,42,0,2,0.11813872,0
134,46,52,0,2,0.13476954,0.008664815
188,46,45,0,2,0.12408699,0.008664815
80,46,43,0,2,0.120816745,0.008664815
28,46,42,0,2,0.13814633,0
211,47,45,0,2,0.13794722,0.008664815
157,47,52,0,2,0.13551553,0.008664815
103,47,43,0,2,0.1261895,0.008664815
51,47,42,0,2,0.121216,0
191,48,45,0,2,0.14755653,0.008664815
137,48,52,0,2,0.12526496,0.008664815
83,48,43,0,2,0.112146325,0.008664815
31,48,42,0,2,0.11894216,0
203,49,45,0,2,0.14851046,0.008664815
95,49,43,0,2,0.13947776,0.008664815
149,49,52,0,2,0.123269446,0.008664815
43,49,42,0,2,0.13549092,0
97,50,43,0,2,0.14809427,0.008664815
151,50,52,0,2,0.13954282,0.008664815
205,50,45,0,2,0.13712366,0.008664815
45,50,42,0,2,0.12386129,0
174,51,45,0,2,0.13956459,0.008664815
66,51,43,0,2,0.13617107,0.008664815
120,51,52,0,2,0.1179566,0.008664815
14,51,42,0,2,0.1324546,0
67,53,43,0,2,0.13275631,0.008664815
175,53,45,0,2,0.13088633,0.008664815
121,53,52,0,2,0.115963824,0.008664815
15,53,42,0,2,0.14409673,0
116,54,52,0,2,0.13542365,0.008664815
62,54,43,0,2,0.13377473,0.008664815
170,54,45,0,2,0.1260269,0.008664815
10,54,42,0,2,0.12439565,0
85,55,43,0,2,0.15099989,0.008664815
139,55,52,0,2,0.12308397,0.008664815
193,55,45,0,2,0.111966394,0.008664815
33,55,42,0,2,0.13581197,0
69,56,43,0,2,0.16197607,0.008664815
177,56,45,0,2,0.12685373,0.008664815
123,56,52,0,2,0.12452293,0.008664815
17,56,42,0,2,0.122540414,0
96,57,43,0,2,0.15669063,0.008664815
204,57,45,0,2,0.14864504,0.008664815
150,57,52,0,2,0.12042872,0.008664815
44,57,42,0,2,0.13876401,0
132,58,52,0,2,0.13703783,0.008664815
78,58,43,0,2,0.12582536,0.008664815
186,58,45,0,2,0.118358225,0.008664815
26,58,42,0,2,0.13302335,0
356,0,6,1,1,0.8707617,0.011495696
320,0,27,1,1,0.8544351,0.012639487
248,0,8,1,1,0.8506774,0
284,0,34,1,1,0.82666177,0.012639487
324,32,7,1,0,0.43765548,0.024695122
216,32,8,1,1,0.1541195,0.02354336
242,22,8,1,1,0.1528066,0
277,3,34,1,1,0.15101872,0.012639487
220,18,8,1,1,0.14825647,0
252,32,34,1,1,0.14728798,0.02354336
344,15,6,1,1,0.14676191,0.011495696
325,23,7,1,0,0.14620215,0.024695122
302,38,27,1,1,0.14233059,0.012639487
219,28,8,1,1,0.14148387,0
359,17,6,1,1,0.1414721,0.011495696
225,39,8,1,2,0.14123936,0
354,19,6,1,1,0.14064214,0.011495696
232,24,8,1,1,0.1401137,0
289,23,27,1,1,0.13992909,0.02354336
245,31,8,1,1,0.13935514,0
338,38,6,1,1,0.1391471,0.011495696
294,13,27,1,1,0.13809721,0.012639487
323,17,27,1,1,0.13775586,0.012639487
281,31,34,1,1,0.13710384,0.012639487
256,18,34,1,1,0.13666055,0.012639487
269,33,34,1,1,0.1359681,0.012639487
287,17,34,1,1,0.13504128,0.012639487
319,30,27,1,1,0.13473292,0.012639487
305,33,27,1,1,0.13456947,0.012639487
290,26,27,1,1,0.1340648,0.012639487
339,35,6,1,1,0.13378175,0.011495696
288,32,27,1,1,0.13328297,0.02354336
226,12,8,1,1,0.13300717,0
251,17,8,1,1,0.1328741,0
343,1,6,1,1,0.13282852,0.011495696
299,36,27,1,1,0.13267744,0.012639487
