,top5,top10,top15,top20,top25
all,0.4636585365853659,0.7160731707317073,0.8153333333333332,0.901,0.9236585365853658
comm0,0.4676521739130435,0.7614782608695652,0.8804057971014493,0.9666304347826088,1.0
comm1,0.45855555555555555,0.6580555555555555,0.7321851851851852,0.817138888888889,0.8261111111111111
0,0.030000000000000006,0.048999999999999995,0.07133333333333332,0.09699999999999999,0.1164
1,0.12399999999999997,0.126,0.12599999999999997,1.0,1.0
2,0.0,1.0,1.0,1.0,1.0
3,0.036000000000000004,0.06299999999999999,0.10666666666666665,0.14849999999999997,0.192
4,0.18599999999999997,0.25799999999999995,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,0.0,1.0,1.0,1.0,1.0
9,0.042,0.043,0.12333333333333332,0.23249999999999996,1.0
10,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0
12,0.054000000000000006,0.09100000000000001,0.15133333333333332,0.20149999999999998,0.24760000000000001
13,1.0,1.0,1.0,1.0,1.0
14,0.17,0.34499999999999986,1.0,1.0,1.0
15,0.0,1.0,1.0,1.0,1.0
16,0.0,0.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0
18,0.0,0.0,0.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
21,0.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0
23,0.0,1.0,1.0,1.0,1.0
24,0.42599999999999993,0.6679999999999999,1.0,1.0,1.0
25,0.066,0.14300000000000002,0.1833333333333333,0.2615,0.314
26,1.0,1.0,1.0,1.0,1.0
27,0.15999999999999998,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0
30,0.0,0.0,1.0,1.0,1.0
31,0.15999999999999998,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0
33,0.146,0.249,0.3506666666666667,1.0,1.0
34,0.0,1.0,1.0,1.0,1.0
35,0.30999999999999994,0.324,0.31599999999999995,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0
37,0.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0
40,0.09999999999999998,1.0,1.0,1.0,1.0
